propname,npropname
INDIGESTION,"LYCOPODIUM CLAVATUM, CARDUUS MARIANUS, CHELIDONIUM MAJUS, BOLDO, NUX VOMICA"
Maximum Strength Diaper Rash,Zinc Oxide Ointment
Hydrating Healing Skin Protectant,Petrolatum Ointment
Constipation Relief,"Alumina, Bryonia, Graphites, Natrum Muriaticum, Silicea"
Gallbladder Relief,"Belladonna, Carduus Marianus, Chelidonium Majus, Colocynthis, Lycopodium Clavatum, Natrum Sulphuricum, Nux Vornica, Phosphorus, Pulsatilla, Veratrum Album"
INFANTS TEETHING,"CHAMOMILLA, CALCAREA PHOSPHORICA, COFFEA CRUDA, BELLADONNA"
Acid Reducer Plus Antacid,"Famotidine, Calcium Carbonate, Magnesium Hydroxide"
CVS,"Sodium Chloride, Sodium Bicarbonate"
CVS Health Natural Daily Fiber Sugar Free,Psyllium Husk
CVS Health Nighttime Severe Cough and Cold,"ACETAMINOPHEN, DIPHENHYDRAMINE, PHENYLEPHRINE"
CVS Health Multi Symptom Severe Cold,"ACETAMINOPHEN, DEXTROMETHORPHAN HBr, PHENYLEPHRINE HCl"
cortisone,Hydrocortisone
PMS Relief,"Acetaminophen, Pamabrom, Pyrilamine Maleate"
CVS Health Extra Strength Heartburn Relief Antacid,aluminum hydroxide and magnesium carbonate
SINUS RELIEF,"Acetaminophen, Guaifenesin, Diphenhydramine HCl, Phenylephrine HCl"
CVS Health Anti-Diarrheal Vanilla,Bismuth subsalicylate
Allergy Relief,cetirizine Hydrochloride
Childrens Stuffy Nose and Cold,"Guaifenesin, Phenylephrine hydrochloride"
SEVERE COLD AND FLU RELIEF,"Acetaminophen, Dextromethorphan HBr, Guiafenesin, Phenylephrine HCl"
CVS Health Nighttime Sleep-Aid,DIPHENHYDRAMINE HYDROCHLORIDE
CVS Health Sore Throat Fast Relief Oral Anesthetic,Phenol
CVS Health Soluble Fiber Therapy,methylcellulose
Ear Pain Relief Ear Drops,Chamomilla and Mercurius solubilis and Sulphur
Pink Eye Relief,Belladonna and Euphrasia and Hepar sulphuris
Multi Symptom Cold Relief,"Acetaminophen, Chlorpheniramine Maleate, Dextromethorphan HBr, Phenylephrine HCl"
CVS Advanced Healing,Petrolatum
Childrens Cough and Chest Congestion DM,"Dextromethorphan HBr, Guaifenesin"
CVS Sheer SFP 30,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE"
Flu and Severe Cold,"ACETAMINOHPEN, DEXTROMETHORPHAN HBr, PHENYLEPHRINE HCL"
Head Congestion Cold Relief,"Acetaminophen, Guaifenesin, Phenylephrine HCl"
Sinus Relief,"Acetaminophen, Guaifenesin, Phenylephrine HCl"
CVS Pharmacy,Colloidal Oatmeal
Childrens Flu Relief,"Acetaminophen, Chlorpheniramine maleate, Dextromethorphan Hydrobromide, Phenylephrine HCI"
PMS FORMULA,"Acetaminophen, Pamabrom, Pyrilamine maleate"
Flu and Severe Cold,"Acetaminophen, Diphenhydramine HCl, Phenylephrine HCl"
Mens Hair Regrowth Treatment,Minoxidil
Cold Relief,"Dextromethorphan HBr, Guaifenesin"
Kids Disappearing Color SPF50 Broad Spectrum Suncreen Green Apple Scented,"Avobenzone, Homosalate, Octisalate, Octocrylene, Oxybenzone"
Mucus Extended Release,Guaifenesin
Sinus PE Decongestant,Phenylephrine HCl
CVS Pharmacy,Saline Laxative
Sinus PE plus Allergy,"Chlorpheniramine maleate, Phenylephrine HCl"
CVS Pharmacy,Undecylenic Acid
Tussin DMMaximum Strength,"Dextromethorphan HBr, Guaifenesin"
Daily Facial Moisturizer,"Octinoxate, Octisalate, Avobenzone"
CVS COLD AND HOT MEDICATED XL,MENTHOL
CVS Homeopathic SKIN TAG REMOVER,THUJA OCCIDENTALIS LEAFY TWIG
Childrens Cough and Cold CF,"Dextromethorphan HBr, Guaifenesin, Phenylephrine HCL"
Allergy D,"Diphenhydramine HCl, Phenylephrine HCl"
Severe Congestion and Cough/Cold and Flu,"Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl, Acetaminophen, Diphenhydramine HCl"
CVS Pharmacy,"Zinc oxide, Petrolatum"
CVS Pharmacy,Dimethicone
PAIN RELIEVING PATCH ULTRA STRENGTH,MENTHOL
Dye-Free Allergy,Diphenhydramine HCl
CVS Pharmacy,Pramoxine Hydrochloride
infants ibuprofen,ibuprofen
CVS Hemorrhoidal Topical Analgesic,Dibucaine
DERMAKLEAR AKNE TREATMENT WITH SULFUR,SULFUR
Air Power,GUAIFENESIN
MucaPlex,GUAIFENESIN
ViraClear EPs 7630 Original,Pelargonium sidoides
ViraClear EPs 7630 Cherry Flavor,Pelargonium sidoides
PainMed,"ACONITUM NAPELLUS, ARNICA MONTANA, BELLIS PERENNIS, BRYONIA ALBA ROOT, CALENDULA OFFICINALIS Flowering TOP, HAMAMELIS VIRGINIANA ROOT BARK/STEM BARK, HYPERICUM PERFORATUM, LEDUM PALUSTRE TWIG, and RUTA GRAVEOLENS Flowering TOP"
PRO-SOURCE ANTIMICROBIAL HAND CLEANING WIPES,BENZALKONIUM CHLORIDE
Bacti-Free tm,ALCOHOL
Bacti-Free tm,TRICLOSAN
DELUXE ALL-PURPOSE,TRICLOSAN
IRIS ANTIMICROBIAL HAND SANITIZER,ALCOHOL
IRIS ANTIMICROBIAL HAND,CHLOROXYLENOL
Sha-lem,"Palmitic Acid, Stearic Acid, Oleic Acid, Bismuth Subcarbonate, Boric Acid"
Lab1796 Cold and Flu Armor,"Aconitum napellus, Onion, Arnica montana, Antropa Belladonna, Solanum Dulcamara Top, Eupatorium Cannabinum Whole Flowering, Gelsemium Sempervirens Root"
Lab1796 Sinus Appeaser,"Asafetida, Echinacea angustifolia, Calcium sulfide, Potassium dichromate, Luffa operculata fruit, Silicon dioxide, Sinusitisinum"
Lab1796 Sore Throat Soothe,"Aconitum napellus, Apis mellifera, Atropa belladonna, Solanum dulcamara top, Mercurius solubilis, Phytolacca americana root"
Lab1796 Allergy Escape,"Onion, Apis mellifera, Drosera rotundifolia, Euphrasia stricta, Histamine dihydrochloride, Urtica urens"
Lab1796 Stress Absorber,"Strychnos nux-vomica seed, Silver nitrate, Datura stramonium, Strychnos ignatii seed, Phosphoric acid, Matricaria recutita, Coffee bean"
Lab1796 Anxiety Shield,"Aconitum napellus, Silver nitrate, Arsenic trioxide, Matricaria recutita, Coffee Bean, Gelsemium sempervirens root, Strychnos ignatii seed"
Lab1796 High Blood Pressure Guard,"Barium carbonate, Atropa belladonna, Nitroglycerin, Lycopus virginicus, Strychnos nux-vomica seed, Lead"
Lab1796 Cholsterol Watch,"Arctium lappa root, Berberis vulgaris root bark, Silybum marianum seed, Chelidonium majus, Cholesterol, Chrysanthellum indicum subsp. afroamericanum, Solidago virgaurea flowering top, Taraxacum offici"
Lab1796 Headache Ease,"Atropa Belladonna, Cyclamen purpurascens tuber, Coffee Bean, Iris versicolor root, Strychnos nux-vomica seed, Sanguinaria canadensis root, Spigelia marilandica root, Viburnum opulus bark"
Lab1796 Detox Escort,"Horse chestnut,Antimony trisulfide,Silver nitrate,Arnica montana,Berberis vulgaris root bark,Activated charcoal,Ceanothus americanus leaf,Cholesterol,Cinchona officinalis bark,Artichoke,Equisetum arve"
Fluoridex,Stannous Fluoride Rinse
FLUORIDEX,Sodium Fluoride
ATRIDOX,Doxycycline Hyclate
Pro-Den Rx,Sodium Fluoride
kids kare,Stannous Fluoride
Kids Kare,Sodium Fluoride
Pro-Den Rx,Stannous Fluoride
ULTRASOL,"Titanium Dioxide, Zinc Oxide"
UltrasolSunscreen,"Avobenzone, Octinoxate, Octisalate, Oxybenzone"
UltrasolSunscreen,"Avobenzone, Octinoxate, Octisalate, Octocrylene, Oxybenzone"
UltrasolSunscreen,"Avobenzone, Octisalate, Octocrylene"
UltrasolSunscreen,"Avobenzone , Octinoxate, Octisalate, Oxybenzone"
Ultrasol,"Avobenzone, Octinoxate, Octisalate, Oxybenzone"
UltrasolSunscreen,"Avobenzone, Octinoxate, Oxybenzone"
UltrasolSunscreen,"Avobenzone, Homosalate, Octinoxate, Octisalate, Octocrylene, Oxybenzone"
UltrasolSunscreen,"Avobenzone, Homosalate, Octinoxate , Octisalate , Octocrylene , Oxybenzone"
UltrasolSunscreen,"Avobenzone, Homosalate, Octinoxate, Octisalate, Octocrylene , Oxybenzone"
ULTRASOL,"Avobenzone, Homosalate, Octinoxate, Octisalate, Octocrylene, Oxybenzone"
ULTRASOL,"Avobenzone, Octinoxate, Octisalate, Octocrylene, Oxybenzone"
ULTRASOL,"Avobenzone, Octinoxate, Octisalate, Oxyybenzone"
Asepxia,SALICYLIC ACID
Olivene,Zinc Oxide
Pure Baby Diaper Rash,Zinc Oxide
MAYFAIR ANTI-BACTERIAL HAND SANITIZER,ALCOHOL
MAYFAIR HAND SANITIZING WIPES WITH ALOE,BENZALKONIUM CHLORIDE
R2,"Avobenzone, Homosalate, Octinoxate, Octocrylene"
R2 Skin Protectant,Dimethicone
Radiaderm System Kit,Dimethicone
Radiaderm Starter Kit,Dimethicone
R2 System,"Avobenzone, Homosalate, Octinoxate, Octocrylene"
EBSL-5,Lidocaine Hydrochloride
EBSS-5,Lidocaine Hydrochloride
FSK-5,Lidocaine Hydrochloride
IWK-5,Lidocaine Hydrochloride
Burn Jel,Gel for Burns
Burn Mist,Lidocaine Hydrochloride
Burn Jel Plus,Gel for Burns
First Aid Antiseptic,Benzalkonium chloride
Isopro First Aid,Isopropyl Alcohol
Water Jel Hydrogen Peroxide,Hydrogen Peroxide
Unburn,Lidocaine hydrochloride
Water-Jel Neomycin Antibiotic,First Aid Ointment
Water-Jel 3-in-1 Antibiotic,"Bacitracin zinc, Polymyxin B Sulfate, Neomycin Sulfate"
MUSCLE,Menthol
Itch Relief,Diphenhydramine Hydrochloride
enfuselle Acne Clarifying,SALICYLIC ACID
Enfuselle Lip Treatment SPF 15 Broad Spectrum,"OCTISALATE, AVOBENZONE, and OCTOCRYLENE"
enfuselle BODY SUNSCREEN BROAD SPECTRUM SPF 30,"HOMOSALATE, OCTISALATE, AVOBENZONE, and OCTOCRYLENE"
Youth Age Defense Mineral Moisturizer SPF 30,ZINC OXIDE
Youth 1 Activating BB Cream SPF 30 Light,"ZINC OXIDE, TITANIUM DIOXIDE"
Youth 2 Activating BB Cream SPF 30 Light Medium,"ZINC OXIDE, TITANIUM DIOXIDE"
Youth 3 Activating BB Cream SPF 30 Medium,"ZINC OXIDE, TITANIUM DIOXIDE"
Youth 4 Activating BB Cream SPF 30 Dark,"ZINC OXIDE, TITANIUM DIOXIDE"
Shaklee Essentials Desert Wind Roll-On Antiperspirant,Aluminum Chlorohydrate
Smart San Healthcare Personnel Handwash,Ethanol
Alpet E3 Hand Sanitizer Spray,Isopropyl Alcohol
Alpet E3 Plus Hand Sanitizer Spray,Ethanol
Smart San Hand Sanitizer Spray,Ethanol
Smart San Hand Sanitizer Spray Fragrenace-Free,Ethanol
Smart San ES Hand Sanitizer Spray,Ethanol
Smart San Hand Sanitizer,Ethanol
Smart San Alcohol Free Hand Sanitizer Foam,Benzalkonium Chloride
All Fresh by Alsco Instant Mist Hand Sanitizer,Ethanol
Alpet Q E2,Benzalkonium Chloride
Alpet E2 Sanitizing Foam Soap,Chloroxylenol
Soften Sure Foam Soap Antimicrobial,Chloroxylenol
HACCP Flat Top E-2,chloroxylenol
HACCP QE2,Benzalkonium Chloride
Conju Princess BB,arbutin
Conju Princess UV Sun Block,ETHYLHEXYL METHOXYCINNAMATE
Conju Princess,tocopherol
Conju Princess Cleansing Balm,TOCOPHEROL
Auryxia,ferric citrate
EPIRUBICIN HYDROCHLORIDE,EPIRUBICIN HYDROCHLORIDE
Panitrol,Menthol
Naturally Nova Scotia Hand Sanitizer,Ethyl Alcohol
Anhydrous SPF 30,"Titanium Dioxide, Zinc Oxide"
Dermaroller Anhydrous Sunscreen,"Titanium Dioxide, Zinc Oxide"
SFL Sunscreen - SOL Defense,"Titanium Dioxide, Zinc Oxide"
Sente Daily Repair Complex,"Titanium Dioxide, Zinc Oxide"
Live Ultimate Facial Sunscreen SPF30,Zinc Oxide
Skinfuse Shield,Zinc Oxide
SLMD Acne Cleanser,Salicylic Acid
SLMD Spot Treatment,Benzoyl Peroxide
SLMD AM Benzoyl Peroxide Acne Treatment,Benzoyl Peroxide
SLMD Moisturizer with SPF,Sunscreen
Chem Free SPF 30,Zinc Oxide
SEA-CALM,Meclizine HCl 25mg Chewable Tablets
Travel Savvy Aspirin,Aspirin 325 mg
Travel Savvy Non-Aspirin,Acetaminophen 325mg
Travel Savvy First Aid Triple Antibiotic,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate"
Hemorrhoidal,"MINERAL OIL,PETROLATUM,PHENYLEPHRINE"
Cold and Hot Pain Relief,Menthol
Face and Body Sunscreen,Octinoxate and Titanium dioxide
Calamine,"zinc oxide, ferric oxide red, pramozine HCl"
Anti-Itch,Diphenhydramine HCl
Day Time Gelcap,"Acetaminophen, Dextromethorphan, Phenylephrine"
Vida Mia Ear Drops for Swimmers,Isopropyl Alcohol
Vida Mia Instant Antiseptic Pain Relief,Camphor 10.8% and Phenol 4.7%
Vida Mia Hand Sanitizer Aloe Vera,ALCOHOL
Vida Mia Hand Sanitizer,ALCOHOL
Vida Mia Pain Relief,"Aspirin, Citric Acid Monohydrate, and Sodium Bicarbonate"
Vida Mia Decolorized Iodine,Ethyl Alcohol
QC Iodine Tincture Mild,Iodine and Sodium Iodide and Alcohol
Vida Mia Lice Killing,"Piperonyl butoxide, Pyrethrum extract"
Vida Mia Calaclear,Zinc Acetate and Pramoxine Hydrochloride
Vida Mia Castor Oil,Castor Oil
Vida Mia Sodium Bicarbonate,Sodium Bicarbonate
Nurture Barrier,Dimethicone
Nurture Skin Protectant,Dimethicone
Nurture Skin Repair,Dimethicone
Turbo Arnica,Arnica montana HPUS
Turbo Travel Sickness,"Tabacum, HPUS,Cocculus, HPUS,Ipecacuanha, HPUS"
Family I,30c Homeopathic Kit
BIOCENCE,EUCALYPTOL THYMOL
Moist Hand Wipes,Benzalkonium chloride
Inverness EAR CARE ANTISEPTIC,BENZALKONIUM CHLORIDE
Woodwards Mycocide Clinical NS,TOLNAFTATE
Dr. Gs Clear Nail,TOLNAFTATE
Nailene Antifungal Treatment,TOLNAFTATE
Woodwards HandClens Foaming Sanitizer,BENZALKONIUM CHLORIDE
WOODWARDS HANDCLENS FOAMING SANITIZER COLOR AND FRAGRANCE FREE,BENZALKONIUM CHLORIDE
"Ped X Callus Removers, Medicated",Salicylic acid
"Ped X Callus Removers, Extra Thick Medicated",Salicylic acid
"Ped X Corn Removers, Medicated",Salicylic acid
Trim Men Styptic Pencil,Aluminum sulfate
HIS Styptic Pencil,Aluminum sulfate
Choline C 11,Choline C 11
Ammonia,Ammonia N-13
AZATHIOPRINE,Azathioprine
levonorgestrel and ethinyl estradiol,levonorgestrel and ethinyl estradiol
Private Label Moisturizing Oil Free Paraben Free SPF43,Sunscreen
EltaMD UV Daily Tinted,"Zinc Oxide, Octinoxate Sunscreen"
EltaMD Laser Balm,Petrolatum Skin Protectant
EltaMD UV Shield,"Zinc Oxide, Octinoxate"
EltaMD UV Facial,"Zinc Oxide, Octinoxate"
EltaMD UV,"Zinc Oxide, Octinoxate"
EltaMD UV Daily,"Zinc Oxide, Octinoxate"
EltaMD UV Sport,"Zinc Oxide, Octinoxate, Octisalate"
Elta MD UV Clear,zinc oxide and octinoxate lotion
EltaMD UV Lip Balm,Lip Balm with Sunscreen
EltaMD UV Elements,physical sunscreen
EltaMD UV Clear Tinted,"Zinc Oxide, Octinoxate Sunscreen"
EltaMD UV PhysicalSPF 41,EltaMD UV Physical SPF 41
Elta MD UV Pure,titanium dioxide and zinc oxide lotion
Elta MD UV SPF46,zinc oxide and octinoxate sunscreen
Elta MD UV Aero,zinc oxide and octinoxate aerosol
Elta Tar,Coal Tar
Elta Lite Tar,Coal Tar Lotion
Cytra-K Crystals,Potassium Citrate and Citric Acid
SF 5000 Plus,1.1% Sodium Fluoride Prescription Dental Cream
SF,1.1% Sodium Fluoride
Renal Caps,"ASCORBIC ACID, THIAMINE MONONITRATE,RIBOFLAVIN, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE, FOLIC ACID, CYANOCOBALAMIN, BIOTIN, CALCIUM PANTOTHENATE,"
"Hydrocodone Bitartrate, Chlorpheniramine Maleate, and Pseudoephedrine HCl","hydrocodone bitartrate, chlorpheniramine maleate, pseudoephedrine hydrochloride"
Sodium Nitrite,Sodium Nitrite
Sodium Thiosulfate,Sodium Thiosulfate
NITHIODOTE,Sodium Nitrite and Sodium Thiosulfate
AHAVA ACTIVE DEADSEA MINERALS,OCTOCRYLENE
AHAVA ACTIVE DEADSEA MINERALS,"Avobenzone, Octisalate, and Octocrylene"
AHAVA ACTIVE DEADSEA MINERALS,"Avobenzone, Octisalate, Homosalate, and Octocrylene"
AHAVA AGE PERFECTING,"Avobenzone, Octisalate, and Octocrylene"
BEAUTY BEFORE AGE,"Homosalate, Octisalate, and Avobenzone"
Mineral Radiance Energizing Day BS SPF 15,"Avobenzone, Homosalate, and Octisalate"
AHAVA ACTIVE DEADSEA MINERALS,"Avobenzone, Homosalate, Octisalate, and Octocrylene"
Brace Relief,Benzocaine
Slim 2,CIANIDANOL
Liver supplement,PHENOL
Liquid Oxygen,Liquid Oxygen
Premium Whitening,HYDROGEN PEROXIDE
Noble S Plus,SILVER
Noble G Plus,XYLITOL
Noble 1 Plus,XYLITOL
Tooth Whole White,HYDROGEN PEROXIDE
TAMNAMO ESSENTIAL HAIR,GLYCERIN
TAMNAMO PLUS VITAL HAIR,GLYCERIN
TAMNAMO ESSENTIAL HAIR TONIC,ASIAN GINSENG
TAMNAMO PLUS VITAL HAIR,ASIAN GINSENG
Queen Perfume Hair,GLYCERIN
Queen Perfume Hair Conditioner,ALLANTOIN
Tamnamo Vital Hair Treatment,ALLANTOIN
SafetyMAXX Mint Flavor,SODIUM MONOFLUOROPHOSPHATE
SafetyMAXX Mint Flavor,SODIUM FLUORIDE
Benzonatate,benzonatate
Isosorbide Sublingual,Isosorbide Dinitrate
Methscopolamine,Methscopolamine Bromide
Metformin Hydrochloride,Metformin Hydrochloride ER
LEFLUNOMIDE,LEFLUNOMIDE
BETHANECHOL CHLORIDE,BETHANECHOL CHLORIDE
FAMCICLOVIR,FAMCICLOVIR
benazepril hydrochloride and hydrochlorothiazide,benazepril hydrochloride and hydrochlorothiazide
Pentazocine and Naloxone,Pentazocine hydrochloride and naloxone hydrochloride
Tramadol Hydrochloride,tramadol hydrochloride extended-release tablets
Tramadol Hydrochloride,Tramadol Hydrochloride Extended-Release Tablets
Multi-Vitamin With Fluoride,"Vitamin A, Vitamin D, Thiamine, Riboflavin, Niacin, Pyridoxine, Folic Acid, Fluoride Ion, Ascorbic Acid, .Alpha.-Tocopherol-Acetate-DL, Cyanocobalamin"
MOMETASONE FUROATE,MOMETASONE FUROATE
GLYCOPYRROLATE,GLYCOPYRROLATE
Dutasteride,dutasteride
Generlac,Lactulose
Megestrol Acetate,megestrol acetate
CARBAMAZEPINE,carbamazepine
Acetaminophen and Codeine Phosphate,acetaminophen and codeine phosphate
Hydrocodone Bitartrate and Homatropine Methylbromide,hydrocodone bitartrate and homatropine methylbromide
LIDOCAINE HYDROCHLORIDE,lidocaine hydrochloride
Promethazine Hydrochloride and Dextromethorphan Hydrobromide,promethazine hydrochloride and dextromethorphan hydrobromide
Promethazine with Codeine,promethazine hydrochloride and codeine phosphate
ERYTHROMYCIN,ERYTHROMYCIN
ACETIC ACID,Acetic Acid
Lindane,Lindane
Bromfed DM,"brompheniramine maleate, pseudoephedrine hydrochloride and dextromethorphan hydrobromide"
Antibacterial Foamy Mango,TRICLOSAN
Antibacterial Foamy Mango High Foaming Antiseptic Hand and Body Wash,CHLOROXYLENOL
BAT,Botulism Antitoxin Heptavalent
CNJ-016,Vaccinia Immune Globulin (Human)
Anthrasil,Anthrax immune globulin (human)
DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE
Ranitidine,ranitidine hydrochloride
Ticlopidine hydrochloride,Ticlopidine hydrochloride
Ranitidine,Ranitidine hydrochloride
Moxifloxacin,moxifloxacin
CEFEPIME,Cefepime
Piperacillin and Tazobactam,PIPERACILLIN and TAZOBACTAM
Cefoxitin,CEFOXITIN
BUDESONIDE,BUDESONIDE
Calcitonin Salmon,Calcitonin Salmon
Budesonide Nasal,Budesonide
Olopatadine Hydrochloride,olopatadine hydrochloride
Galantamine,galantamine hydrobromide
CABERGOLINE,CABERGOLINE
ROSUVASTATIN,ROSUVASTATIN CALCIUM
Cevimeline Hydrochloride,cevimeline hydrochloride
RILUZOLE,RILUZOLE
Candesartan Cilexetil,Candesartan cilexetil
Candesartan Cilexetil,Candesartan Cilexetil
PAROXETINE HYDROCHLORIDE,paroxetine hydrochloride
Carvedilol Phosphate,carvedilol phosphate
valsartan and hydrochlorothiazide,valsartan and hydrochlorothiazide
Drospirenone and ethinyl estradiol,Drospirenone and ethinyl estradiol
Nighttime Cold and Flu Relief,"Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine succinate"
Cefepime,CEFEPIME
Azithromycin,"azithromycin for injection injection, powder, lyophilized, for solution"
Bivalirudin,bivalirudin
Gemcitabine,GEMCITABINE HYDROCHLORIDE
DORIPENEM,DORIPENEM
MEMANTINE,memantine hydrochloride
Clofarabine,clofarabine
PMS RELIEF,"CIMICIFUGA RACEMOSA, MERCURIUS CORROSIVUS, SABINA, HYDRASTIS CANADENSIS, SECALE CORNUTUM, AURUM METALLICUM, HYOSCYAMUS NIGER, LYCOPODIUM CLAVATUM, NITRICUM ACIDUM"
ECZEMA RELIEF,"NATRUM MURIATICUM, AGARICUS MUSCARIUS, PETROLEUM, SEPIA, KALI ARSENICOSUM, ALUMINA"
ALLERGY RELIEF,"ALLIUM CEPA, ARSENICUM ALBUM, NUX VOMICA, SABADILLA, STICTA PULMONARIA, CUPRUM METALLICUM, ARALIA RACEMOSA"
NATURCOKSINUM FLU RELIEF,ANAS BARBARIAE HEPATIS ET CORDIS EXTRACTUM
ACNE RELIEF,"SAPONARIA, ECHINACEA ANGUSTIFOLIA, KALIUM BROMATUM, VIOLA TRICOLOR, SELENIUM METALLICUM, NUX VOMICA, THUJA OCCIDENTALIS, PULSATILLA, CALCAREA PICRATA, SULPHUR IODATUM, ANTIMONIUM TARTARICUM"
MENTAL ALERTNESS SUPPORT,"PHOSPHORICUM ACIDUM, PICRICUM ACIDUM, GELSEMIUM SEMPERVIRENS, VALERIANA OFFICINALIS"
ARTHRITIS RELIEF,"CAUSTICUM, COLCHICUM AUTUMNALE, BENZOICUM ACIDUM, APIS MELLIFICA, ARSENICUM ALBUM, ARNICA MONTANA, NATRUM CARBONICUM"
FATIGUE RELIEF,"ALFALFA, PHOSPHORUS, AVENA SATIVA, SELENIUM METALLICUM, AGNUS CASTUS, PHOSPHORICUM ACIDUM"
INSOMNIA RELIEF,"PASSIFLORA INCARNATA, VALERIANA OFFICINALIS, AVENA SATIVA, CUPRUM ACETICUM, HYOSCYAMUS NIGER"
MENOPAUSE SUPPORT,"LACHESIS MUTUS, AMYL NITROSUM, BRYONIA ALBA, AURUM METALLICUM, SANGUINARIA CANADENSIS"
COUGH AND COLD RELIEF,"DROSERA ROTUNDIFOLIA, ARSENICUM ALBUM, IPECACUANHA, KALI BICHROMICUM, BELLADONNA, PULSATILLA, MERCURIUS SOLUBILIS"
ANXIETY/STRESS RELIEF,"ASA FOETIDA, IGNATIA AMARA, VALERIANA OFFICINALIS, AVENA SATIVA, ARGENTUM NITRICUM"
SINUS RELIEF,"ALLIUM CEPA, EUPHRASIA OFFICINALIS, STICTA PULMONARIA, HYDRASTIS CANADENSIS, THUJA OCCIDENTALIS, NUX VOMICA, HEPAR SULPHURIS CALCAREUM"
WEIGHT CONTROL SUPPORT,"THYROIDINUM, RHAMNUS FRANGULA, FUCUS VESICULOSUS, KALI IODATUM"
CANDIDA YEAST RELIEF,"BAPTISIA TINCTORIA, BRYONIA ALBA, ECHINACEA ANGUSTIFOLIA, THUJA OCCIDENTALIS, VISCUM ALBUM, CANDIDA ALBICANS"
HEADACHE/MIGRAINE RELIEF,"CYCLAMEN EUROPAEUM, ANTIMONIUM CRUDUM, ALUMINA, LYCOPODIUM CLAVATUM, ARGENTUM NITRICUM, DIGITALIS PURPUREA, MELILOTUS OFFICINALIS, GLONOINUM"
CALENDULA PLUS,"CALENDULA OFFICINALIS, ECHINACEA, HYPERICUM PERFORATUM, PHYTOLACCA DECANDRA, CANTHARIS, SULPHUR"
GELSEMIUM SEMPERVIRENS,GELSEMIUM SEMPERVIRENS
MERCURIUS VIVUS,MERCURIUS VIVUS
HEADACHE/MIGRAINE RELIEF,"CYCLAMEN EUROPAEUM, ANTIMONIUM CRUDUM, ALUMINA, LYCOPODIUM CLAVATUM, GLONOINUM, ARGENTUM NITRICUM, DIGITALIS PURPUREA, MELILOTUS OFFICINALIS"
ANXIETY/STRESS,"ASA FOETIDA,IGNATIA AMARA,VALERIANA OFFICINALIS,AVENA SATIVA,ARGENTUM NITRICUM"
CONSTIPATION RELIEF,"CROTON TIGLIUM, ALUMINA, ARGENTUM NITRICUM, PODOPHYLLUM PELTATUM, MAGNESIA CARBONICA"
INDIGESTION/GAS RELIEF,"NUX VOMICA, BRYONIA, IPECACUANHA, SULPHUR, ARSENICUM ALBUM, PULSATILLA, ROBINIA PSEUDOACACIA"
SMOKING WITHDRAWAL SUPPORT,"TABACUM, STAPHYSAGRIA, THUJA OCCIDENTALIS, LOBELIA INFLATA, MAGNESIA PHOSPHORICA"
CAFFEINE WITHDRAWAL SUPPORT,"COFFEA TOSTA, STAPHYSAGRIA, GELSEMIUM SEMPERVIRENS, THUJA OCCIDENTALIS"
EARACHE RELIEF,"FERRUM PHOSPHORICUM, CAPSICUM ANNUUM, THUJA OCCIDENTALIS, SILICEA, MERCURIUS VIVUS, KALI PHOSPHORICUM, PYROGENIUM"
ASTHMA RESPIRATORY CARE,"ERIODICTYON CALIFORNICUM, IPECACUANHA, LOBELIA INFLATA, BELLADONNA, SOLIDAGO VIRGAUREA, SAMBUCUS NIGRA, CRATAEGUS"
ASTHMA RESPIRATORY CARE NIGHTTIME,"ERIODICTYON CALIFORNICUM, IPECACUANHA, LOBELIA INFLATA, CHAMOMILLA, BELLADONNA, COFFEA CRUDA, SOLIDAGO VIRGAUREA, SAMBUCUS NIGRA, CRATAEGUS"
GAS AND BLOATING,"COLOCYNTHIS, MAGNESIA PHOSPHORICA, CHAMOMILLA, DIOSCOREA VILLOSA"
